company_id,tse_industry_code,tej_industry,tej_sub_industry
6263,27,M23K 通信網路,M23K4 網通設備
6264,14,M25A 建設,M25A 建設
6265,29,M23T 電子通路,M23T2 零組件代理
6266,28,M23B 印刷電路板,M23B1 PCB組裝
6269,28,M23B 印刷電路板,M23B2C 軟板
6270,29,M23T 電子通路,M23T2 零組件代理
6271,24,M23G 半導體,M23G6 其他半導體
6272,28,M23D 電子零組件,M23D2 連接器
6274,28,M23B 印刷電路板,M23B3A 銅箔基板
6275,28,M23D 電子零組件,M23D9B 散熱零組件
6276,25,M23D 電子零組件,M23D3 電源供應器
6277,25,M23C 光電及I/O,M23C3 3C週邊
6278,26,M23B 印刷電路板,M23B1 PCB組裝
6279,28,M15D 汽車組件,M15D 汽車組件
6281,29,M23T 電子通路,M23T1 3C通路
6282,28,M23D 電子零組件,M23D3 電源供應器
6283,31,M23C 光電及I/O,M23C3 3C週邊
6284,28,M23D 電子零組件,M23D5 被動元件
6285,27,M23K 通信網路,M23K4 網通設備
6290,28,M23D 電子零組件,M23D2 連接器
6291,24,M23G 半導體,M23G5Z 其他IC
6292,28,M23D 電子零組件,M23D5 被動元件
6294,32,M99Z 其他,M99ZX 其他服務
6405,26,M23C 光電及I/O,M23C8C LCD原料
6407,28,M23B 印刷電路板,M23B2B 硬板
6409,31,M23D 電子零組件,M23D3 電源供應器
6411,24,M23G 半導體,M23G5Z 其他IC
6412,28,M23D 電子零組件,M23D3 電源供應器
6414,25,M23A 電腦及週邊,M23A5B 工業電腦
6415,24,M23G 半導體,M23G5D 電源管理IC
6416,27,M23A 電腦及週邊,M23A5B 工業電腦
6417,27,M23K 通信網路,M23KX 其他網通
6418,28,M23D 電子零組件,M23D2 連接器
6419,26,M23C 光電及I/O,M23C9 安全監控
6423,24,M23G 半導體,M23G5L 矽智財
6425,05,M23H 電子設備,M23H2 電機設備
6426,27,M23K 通信網路,M23K6 光元件模組
6428,32,M23X 資訊服務,M23X2 遊戲軟體
6431,22,M17Y 化妝美容,M17Y 化妝美容
6432,28,M23D 電子零組件,M23D5 被動元件
6434,26,M23C 光電及I/O,M23C8C LCD原料
6435,24,M23G 半導體,M23G5K MOSFET
6438,31,M23H 電子設備,M23H2 電機設備
6441,25,M23D 電子零組件,M23D7 二次電池
6442,27,M23K 通信網路,M23K6 光元件模組
6443,26,M23C 光電及I/O,M23C7C 太陽能電池
6446,22,M17C 藥,M17C1D 大分子新藥
6449,28,M23D 電子零組件,M23D5 被動元件
6451,24,M23G 半導體,M23G2 IC封測
6456,26,M23C 光電及I/O,M23C8E 觸控面板
6461,22,M17C 藥,M17C1B 學名藥
6462,24,M23G 半導體,M23G5Z 其他IC
6464,20,M99G 有線電視,M99G 有線電視
6465,27,M23K 通信網路,M23K5 導航定位
6467,22,M17C 藥,M17C1C 小分子新藥
6469,22,M17X 醫藥通路,M17X2 醫藥零售
6470,27,M23K 通信網路,M23K4 網通設備
6472,22,M17C 藥,M17C1B 學名藥
6473,36,M23E 數位雲端,M23E1 電子商務
6474,29,M23G 半導體,M23G5H 微控制器IC
6477,26,M23C 光電及I/O,M23C7D 太陽能模組
6482,32,M23X 資訊服務,M23X2 遊戲軟體
6483,22,M17C 藥,M17C1C 小分子新藥
6485,24,M23G 半導體,M23G5E 記憶體IC
6486,27,M23K 通信網路,M23K1 網通工程
6488,24,M23G 半導體,M23G3C 晶圓材料
6491,22,M17G 醫療耗材,M17G4 輔助與彌補
6492,22,M17C 藥,M17C1C 小分子新藥
6493,22,M17G 醫療耗材,M17G2 手術與治療
6494,24,M23G 半導體,M23G5H 微控制器IC
6496,22,M17C 藥,M17C1B 學名藥
6498,26,M23U 消費性電子,M23U1 光學鏡頭
6499,22,M17G 醫療耗材,M17G2 手術與治療
6504,20,M14F 不織布,M14F 不織布
6505,23,M13C 輕油裂解,M13C 輕油裂解
6506,04,M17F 樹脂,M17F 樹脂
6508,33,M17C 藥,M17C3 農藥肥料
6509,21,M17Z 其他化學,M17Z 其他化學
6510,24,M23B 印刷電路板,M23B2D 其他PCB
