資料年月,代號,名稱,市場,產業別,YoY%,MoM%,產業中位YoY%,同業家數,相對強度
11508,5206,坤悅,TPEx,M25A 建設,2630241.1764705884,,22.16517290505406,74,2630219.011297683
11508,6219,富旺,TPEx,M25A 建設,115059.92366412214,-57.98651531439202,22.16517290505406,74,115037.75849121709
11508,1438,三地開發,TWSE,M25A 建設,41420.552147239265,920.6122602860231,22.16517290505406,74,41398.38697433421
11508,1808,潤隆,TWSE,M25A 建設,33032.925531914894,-43.44505427158947,22.16517290505406,74,33010.76035900984
11508,3512,皇龍,TPEx,M25A 建設,27442.5,,22.16517290505406,74,27420.334827094946
11508,2905,三商,TWSE,M29A 百貨批發,7187.402448021923,1843.1472470257727,2.8430848467719483,24,7184.559363175151
11508,1456,怡華,TWSE,M25A 建設,6526.080375163244,2356.031552196442,22.16517290505406,74,6503.91520225819
11508,6535,順藥,TPEx,M17C 藥,5135.838150289017,11512.820512820514,13.935210320845938,75,5121.902939968171
11508,5529,鉅陞,TPEx,M25A 建設,3702.282608695652,347.15582257445993,22.16517290505406,74,3680.117435790598
11508,4416,三圓,TPEx,M25A 建設,3633.031771674744,-32.6446457650767,22.16517290505406,74,3610.86659876969
11508,5205,中茂,TPEx,M99L 資源回收,2617.5182481751826,1130.7438016528927,15.567574908502475,28,2601.95067326668
11508,4113,聯上,TPEx,M25A 建設,2252.2927328556807,18.638710121485357,22.16517290505406,74,2230.1275599506266
11508,5386,青雲,TPEx,M23T 電子通路,1846.2079589216944,128.2967670044723,35.1919397058577,57,1811.0160192158366
11508,5525,順天,TWSE,M25A 建設,1699.2086400934063,20.578166603271207,22.16517290505406,74,1677.0434671883522
11508,8937,合騏*,TPEx,M22A 汽車製造,1403.095975232198,898.0727226005397,98.4969606411519,7,1304.5990145910462
11508,2596,綠意,TPEx,M25A 建設,1287.8783165883854,204.39964524491745,22.16517290505406,74,1265.7131436833313
11508,8926,台汽電,TWSE,M99D 公用事業,1263.6234640055363,14.432225970907743,15.499684873151953,15,1248.1237791323845
11508,6461,益得,TPEx,M17C 藥,1102.9787234042553,2579.620853080569,13.935210320845938,75,1089.0435130834094
11508,1591,駿吉-KY,TPEx,M20B 金屬製品,927.8923253150057,26.71750335380922,37.664156804152086,11,890.2281685108536
11508,7740,熙特爾-創,TWSE,M23D 電子零組件,869.634082504517,-37.87123222753943,25.08933578159188,195,844.5447467229251
11508,7610,聯友金屬-創,TWSE,M99L 資源回收,852.6321978095814,16.824373387441483,15.567574908502475,28,837.0646229010789
11508,4402,郡都開發,TPEx,M25A 建設,840.3707518022657,422.66742987979393,22.16517290505406,74,818.2055788972116
11508,6654,天正國際,TPEx,M23H 電子設備,848.7643215604583,10.65965741548588,42.51717000649329,84,806.247151553965
11508,6486,互動,TPEx,M23K 通信網路,825.8113558796152,770.8527901003969,26.817191653679874,74,798.9941642259354
11508,2258,鴻華先進-創,TWSE,M22A 汽車製造,726.0737499660993,52.91692117175538,98.4969606411519,7,627.5767893249474
11508,5508,永信建,TPEx,M25A 建設,633.6485802383911,15.912949585361686,22.16517290505406,74,611.483407333337
11508,3006,晶豪科,TWSE,M23G 半導體,605.2432014317565,16.509798129958426,29.27771748942473,163,575.9654839423317
11508,8171,天宇,TPEx,M23D 電子零組件,581.2910377760724,-0.17367618762026138,25.08933578159188,195,556.2017019944805
11508,5289,宜鼎,TPEx,M23G 半導體,576.2927682888633,2.1814849302103285,29.27771748942473,163,547.0150507994385
11508,2408,南亞科,TWSE,M23G 半導體,560.8541425724004,1.8753221767796826,29.27771748942473,163,531.5764250829757
11508,5455,昇益,TPEx,M25A 建設,546.5800865800866,14986.868686868687,22.16517290505406,74,524.4149136750325
11508,2348,海悅,TWSE,M25A 建設,540.5590508718318,-31.398027281539285,22.16517290505406,74,518.3938779667777
11508,3708,上緯投控,TWSE,M17F 樹脂,534.5730588954555,-6.544314055043669,20.56055139970624,16,514.0125074957492
11508,5351,鈺創,TPEx,M23G 半導體,525.3153245373534,6.360338061042983,29.27771748942473,163,496.03760704792865
11508,2509,全坤建,TWSE,M25A 建設,510.3268226648617,-88.25146554219245,22.16517290505406,74,488.16164975980763
11508,6560,欣普羅,TPEx,M23C 光電及I/O,461.324570273003,-28.38622291021672,9.849321993850566,130,451.4752482791524
11508,6265,方土昶,TPEx,M23T 電子通路,465.9463049253146,-17.7370093493439,35.1919397058577,57,430.75436521945693
11508,6547,高端疫苗,TPEx,M17C 藥,416.8601727342298,399.0099427920035,13.935210320845938,75,402.92496241338387
11508,3631,晟楠,TPEx,M23B 印刷電路板,421.939736346516,9.437314906219152,40.582840603580124,66,381.3568957429359
11508,3629,地心引力,TPEx,M23X 資訊服務,381.0,-73.88235294117646,20.16137918832383,73,360.83862081167615
11508,6419,京晨科,TPEx,M23C 光電及I/O,365.69566778032413,-1.4329711944738273,9.849321993850566,130,355.84634578647353
11508,2465,麗臺,TWSE,M23A 電腦及週邊,383.2629286702524,10.273586835402366,35.82690162998942,65,347.43602704026296
11508,8299,群聯,TPEx,M23G 半導體,376.5177219159828,4.101269556636891,29.27771748942473,163,347.2400044265581
11508,6212,理銘,TPEx,M25A 建設,331.5416800772449,-30.59921668765852,22.16517290505406,74,309.3765071721908
11508,2059,川湖,TWSE,M20B 金屬製品,344.4151275890319,0.9194731722909152,37.664156804152086,11,306.7509707848798
11508,5514,三豐,TPEx,M25A 建設,319.29460580912865,32.26439790575916,22.16517290505406,74,297.1294329040746
11508,3266,昇陽,TWSE,M25A 建設,307.0065719737121,29.766357245854362,22.16517290505406,74,284.841399068658
11508,3498,陽程,TPEx,M23H 電子設備,326.0465447130375,-16.31090389980578,42.51717000649329,84,283.5293747065442
11508,2344,華邦電,TWSE,M23G 半導體,289.42756449599915,2.000277964749722,29.27771748942473,163,260.1498470065744
11508,8176,智捷,TPEx,M23K 通信網路,281.82501503307276,-25.627360838628444,26.817191653679874,74,255.00782337939287
11508,3260,威剛,TPEx,M23G 半導體,279.80697041038457,2.9717593574737884,29.27771748942473,163,250.52925292095983
11508,3664,安瑞-KY,TPEx,M23X 資訊服務,269.24933206929245,37.07448169951369,20.16137918832383,73,249.08795288096863
11508,2451,創見,TWSE,M23G 半導體,275.4659980905217,-6.889659274430279,29.27771748942473,163,246.18828060109695
11508,4967,十銓,TWSE,M23G 半導體,275.0567709273065,38.03916961239043,29.27771748942473,163,245.77905343788177
11508,3661,世芯-KY,TWSE,M23G 半導體,273.61017160561573,18.069508063335714,29.27771748942473,163,244.332454116191
11508,2073,雄順,TPEx,M20A 基本金屬,249.78321391082105,4.260702771089254,11.847793061266259,53,237.9354208495548
11508,4523,永彰,TPEx,M15D 汽車組件,242.54279972526774,100.59138984060777,6.816747433041865,54,235.7260522922259
11508,3310,佳穎,TPEx,M23D 電子零組件,259.96340846276615,-46.25728805363636,25.08933578159188,195,234.87407268117428
11508,8096,擎亞,TPEx,M23T 電子通路,269.5574579229668,-30.20407343615153,35.1919397058577,57,234.36551821710913
11508,5475,德宏,TPEx,M23B 印刷電路板,271.8799275827834,11.06324345065755,40.582840603580124,66,231.2970869792033
11508,2305,全友,TWSE,M23C 光電及I/O,239.98536640276163,1.490272068459548,9.849321993850566,130,230.13604440891106
11508,4529,淳紳,TPEx,M22A 汽車製造,327.27272727272725,-31.40961857379768,98.4969606411519,7,228.77576663157535
11508,8047,星雲,TPEx,M23C 光電及I/O,231.85349180455216,-1.7965104250477,9.849321993850566,130,222.0041698107016
11508,2419,仲琦,TWSE,M23K 通信網路,245.59047432473767,202.53346411088813,26.817191653679874,74,218.77328267105779
11508,6179,亞通,TPEx,M25C 工程承攬,223.27509730425263,-26.259807925095163,9.42002029759555,6,213.85507700665707
11508,3147,大綜,TPEx,M23X 資訊服務,233.47826842384174,-1.9271524616990265,20.16137918832383,73,213.31688923551792
11508,3135,凌航,TWSE,M23G 半導體,237.786227791755,-7.108615641140347,29.27771748942473,163,208.50851030233028
11508,2724,藝舍-KY,TPEx,M25A 建設,227.70419426048565,-30.5192335819804,22.16517290505406,74,205.5390213554316
11508,5468,凱鈺,TPEx,M23G 半導體,232.88894814024798,168.37919174548583,29.27771748942473,163,203.61123065082325
11508,5263,智崴,TPEx,M23Z 其他電子,216.5614441898171,72.77473192966151,17.780449485962418,13,198.7809947038547
11508,2923,鼎固-KY,TWSE,M25A 建設,218.9867410565063,20.988359626043007,22.16517290505406,74,196.82156815145225
11508,6541,泰福-KY,TWSE,M17C 藥,210.1415494151551,36.05703980515738,13.935210320845938,75,196.2063390943092
11508,6515,穎崴,TWSE,M23B 印刷電路板,233.36649415222965,6.5805563904418465,40.582840603580124,66,192.7836535486495
11508,2337,旺宏,TWSE,M23G 半導體,218.53271706735816,5.444034937143434,29.27771748942473,163,189.25499957793343
11508,6550,北極星藥業-KY,TWSE,M17C 藥,202.55720053835802,225.90310837300476,13.935210320845938,75,188.6219902175121
11508,6431,光麗-KY,TWSE,M17Y 化妝美容,185.89271089271088,17.191696508504926,0.4069472833029337,8,185.48576360940794
11508,3176,基亞,TPEx,M17C 藥,197.40339528202162,241.3651494882245,13.935210320845938,75,183.4681849611757
11508,4934,太極,TWSE,M23C 光電及I/O,192.98288508557457,43.6638292770651,9.849321993850566,130,183.133563091724
11508,4806,桂田文創,TPEx,M99H 電視廣播,179.11410148584244,-15.00042687612055,-3.412680420161717,7,182.52678190600415
11508,3713,新晶投控,TPEx,M23C 光電及I/O,184.79864468993753,28.92361277540782,9.849321993850566,130,174.94932269608697
11508,4973,廣穎電通,TPEx,M23G 半導體,204.02859571367858,-0.6576330566248844,29.27771748942473,163,174.75087822425385
11508,4119,旭富,TWSE,M17C 藥,187.52268077056712,-21.9302291452651,13.935210320845938,75,173.5874704497212
11508,6691,洋基工程,TWSE,M23H 電子設備,213.69818881487726,10.989564156486013,42.51717000649329,84,171.18101880838395
11508,6907,雅特力-KY,TPEx,M23G 半導體,198.71710177550506,-9.069558438721145,29.27771748942473,163,169.43938428608033
11508,5533,皇鼎,TWSE,M25A 建設,189.42621733966746,182.76737313486956,22.16517290505406,74,167.2610444346134
11508,9946,三發地產,TWSE,M25A 建設,185.25724897649096,50.54908337602744,22.16517290505406,74,163.0920760714369
11508,6874,倍力,TPEx,M23X 資訊服務,182.4825036313218,-8.911919745884678,20.16137918832383,73,162.32112444299798
