資料年月,代號,名稱,市場,產業別,YoY%,MoM%,產業中位YoY%,相對強度
11508,1438,三地開發,TWSE,建材營造,41420.552147239265,920.6122602860231,10.642243208931497,41409.90990403033
11508,2905,三商,TWSE,貿易百貨,7187.402448021923,1843.1472470257727,4.245494301651084,7183.156953720272
11508,1456,怡華,TWSE,建材營造,6526.080375163244,2356.031552196442,10.642243208931497,6515.438131954313
11508,6535,順藥,TPEx,生技醫療業,5135.838150289017,11512.820512820514,10.87404800799546,5124.964102281022
11508,5529,鉅陞,TPEx,建材營造,3702.282608695652,347.15582257445993,10.642243208931497,3691.6403654867204
11508,5205,中茂,TPEx,綠能環保,2617.5182481751826,1130.7438016528927,15.414169395407162,2602.1040787797756
11508,4113,聯上,TPEx,建材營造,2252.2927328556807,18.638710121485357,10.642243208931497,2241.650489646749
11508,5386,青雲,TPEx,電腦及週邊設備業,1846.2079589216944,128.2967670044723,25.200742370543818,1821.0072165511506
11508,5525,順天,TWSE,建材營造,1699.2086400934063,20.578166603271207,10.642243208931497,1688.566396884475
11508,8937,合騏*,TPEx,其他,1403.095975232198,898.0727226005397,6.798290381685865,1396.2976848505123
11508,2596,綠意,TPEx,建材營造,1287.8783165883854,204.39964524491745,10.642243208931497,1277.236073379454
11508,8926,台汽電,TWSE,油電燃氣業,1263.6234640055363,14.432225970907743,16.68268801195495,1246.9407759935814
11508,6461,益得,TPEx,生技醫療業,1102.9787234042553,2579.620853080569,10.87404800799546,1092.1046753962598
11508,1591,駿吉-KY,TPEx,電機機械,927.8923253150057,26.71750335380922,9.955734548221304,917.9365907667843
11508,4402,郡都開發,TPEx,紡織纖維,840.3707518022657,422.66742987979393,-0.06602217024011142,840.4367739725058
11508,7610,聯友金屬-創,TWSE,綠能環保,852.6321978095814,16.824373387441483,15.414169395407162,837.2180284141742
11508,6654,天正國際,TPEx,其他電子業,848.7643215604583,10.65965741548588,23.22306770081476,825.5412538596435
11508,6486,互動,TPEx,通信網路業,825.8113558796152,770.8527901003969,27.642117309427462,798.1692385701878
11508,2258,鴻華先進-創,TWSE,汽車工業,726.0737499660993,52.91692117175538,5.380600310175146,720.6931496559241
11508,5508,永信建,TPEx,建材營造,633.6485802383911,15.912949585361686,10.642243208931497,623.0063370294596
11508,3006,晶豪科,TWSE,半導體業,605.2432014317565,16.509798129958426,29.99232947887792,575.2508719528786
11508,5289,宜鼎,TPEx,電腦及週邊設備業,576.2927682888633,2.1814849302103285,25.200742370543818,551.0920259183195
11508,5455,昇益,TPEx,建材營造,546.5800865800866,14986.868686868687,10.642243208931497,535.937843371155
11508,2408,南亞科,TWSE,半導體業,560.8541425724004,1.8753221767796826,29.99232947887792,530.8618130935225
11508,5351,鈺創,TPEx,半導體業,525.3153245373534,6.360338061042983,29.99232947887792,495.32299505847544
11508,6547,高端疫苗,TPEx,生技醫療業,416.8601727342298,399.0099427920035,10.87404800799546,405.9861247262344
11508,3631,晟楠,TPEx,電子零組件業,421.939736346516,9.437314906219152,29.750508203062697,392.1892281434533
11508,2465,麗臺,TWSE,電腦及週邊設備業,383.2629286702524,10.273586835402366,25.200742370543818,358.06218629970857
11508,8299,群聯,TPEx,半導體業,376.5177219159828,4.101269556636891,29.99232947887792,346.52539243710487
11508,2059,川湖,TWSE,電子零組件業,344.4151275890319,0.9194731722909152,29.750508203062697,314.6646193859692
11508,5514,三豐,TPEx,建材營造,319.29460580912865,32.26439790575916,10.642243208931497,308.65236260019714
11508,3266,昇陽,TWSE,建材營造,307.0065719737121,29.766357245854362,10.642243208931497,296.36432876478057
11508,2344,華邦電,TWSE,半導體業,289.42756449599915,2.000277964749722,29.99232947887792,259.4352350171212
11508,3260,威剛,TPEx,半導體業,279.80697041038457,2.9717593574737884,29.99232947887792,249.81464093150663
11508,4967,十銓,TWSE,半導體業,275.0567709273065,38.03916961239043,29.99232947887792,245.06444144842857
11508,3661,世芯-KY,TWSE,半導體業,273.61017160561573,18.069508063335714,29.99232947887792,243.6178421267378
11508,5475,德宏,TPEx,電子零組件業,271.8799275827834,11.06324345065755,29.750508203062697,242.1294193797207
11508,3664,安瑞-KY,TPEx,通信網路業,269.24933206929245,37.07448169951369,27.642117309427462,241.60721475986497
11508,2073,雄順,TPEx,鋼鐵工業,249.78321391082105,4.260702771089254,11.968353106337808,237.81486080448323
11508,4523,永彰,TPEx,電機機械,242.54279972526774,100.59138984060777,9.955734548221304,232.58706517704644
11508,2419,仲琦,TWSE,通信網路業,245.59047432473767,202.53346411088813,27.642117309427462,217.9483570153102
11508,2305,全友,TWSE,電腦及週邊設備業,239.98536640276163,1.490272068459548,25.200742370543818,214.7846240322178
11508,5263,智崴,TPEx,文化創意業,216.5614441898171,72.77473192966151,7.161599674517873,209.39984451529924
11508,2923,鼎固-KY,TWSE,建材營造,218.9867410565063,20.988359626043007,10.642243208931497,208.34449784757481
11508,6515,穎崴,TWSE,半導體業,233.36649415222965,6.5805563904418465,29.99232947887792,203.37416467335174
11508,5468,凱鈺,TPEx,半導體業,232.88894814024798,168.37919174548583,29.99232947887792,202.89661866137004
11508,6541,泰福-KY,TWSE,生技醫療業,210.1415494151551,36.05703980515738,10.87404800799546,199.26750140715964
11508,6550,北極星藥業-KY,TWSE,生技醫療業,202.55720053835802,225.90310837300476,10.87404800799546,191.68315253036255
11508,6691,洋基工程,TWSE,其他電子業,213.69818881487726,10.989564156486013,23.22306770081476,190.4751211140625
11508,2337,旺宏,TWSE,半導體業,218.53271706735816,5.444034937143434,29.99232947887792,188.54038758848026
11508,3176,基亞,TPEx,生技醫療業,197.40339528202162,241.3651494882245,10.87404800799546,186.52934727402615
11508,6026,福邦證,TPEx,金融業,231.77946698415604,381.78473268906816,46.18760930983452,185.59185767432152
11508,4934,太極,TWSE,光電業,192.98288508557457,43.6638292770651,10.869800594642088,182.11308449093247
11508,5533,皇鼎,TWSE,建材營造,189.42621733966746,182.76737313486956,10.642243208931497,178.78397413073597
11508,6431,光麗-KY,TWSE,生技醫療業,185.89271089271088,17.191696508504926,10.87404800799546,175.0186628847154
11508,9946,三發地產,TWSE,建材營造,185.25724897649096,50.54908337602744,10.642243208931497,174.61500576755947
11508,3713,新晶投控,TPEx,綠能環保,184.79864468993753,28.92361277540782,15.414169395407162,169.38447529453038
11508,6016,康和證,TPEx,金融業,215.39039794418443,235.27861735273706,46.18760930983452,169.2027886343499
11508,4542,科嶠,TPEx,電子零組件業,194.65100798782808,6.806039088621557,29.750508203062697,164.90049978476537
11508,6199,天品,TPEx,其他,171.69669177857844,6.946790268304947,6.798290381685865,164.89840139689258
11508,6613,朋億*,TPEx,其他電子業,186.81734976223558,30.803314798295098,23.22306770081476,163.5942820614208
11508,7828,創新服務,TPEx,半導體業,192.1368379931916,21.162837347817366,29.99232947887792,162.14450851431366
11508,6588,東典光電,TPEx,通信網路業,189.01808785529715,1.24135255705696,27.642117309427462,161.37597054586968
11508,4157,太景*-KY,TPEx,生技醫療業,172.2115013508298,138.59945872801083,10.87404800799546,161.33745334283432
11508,6949,沛爾生醫*-創,TWSE,生技醫療業,164.71067644661775,157.77777777777777,10.87404800799546,153.83662843862228
11508,3081,聯亞,TPEx,通信網路業,180.9018539007475,3.8425011472237185,27.642117309427462,153.25973659132006
11508,2382,廣達,TWSE,電腦及週邊設備業,177.453640698528,15.752371011347568,25.200742370543818,152.25289832798418
11508,6885,全福生技,TWSE,生技醫療業,157.1095571095571,31.466030989272944,10.87404800799546,146.23550910156163
11508,3693,營邦,TPEx,電腦及週邊設備業,171.01452065990162,3.417336668647826,25.200742370543818,145.8137782893578
11508,3167,大量,TWSE,電機機械,152.9786603130761,6.370649637811313,9.955734548221304,143.0229257648548
11508,6657,華安,TWSE,生技醫療業,153.3123028391167,30.781758957654723,10.87404800799546,142.43825483112124
11508,3231,緯創,TWSE,電腦及週邊設備業,166.4840985505344,49.26554412746217,25.200742370543818,141.2833561799906
11508,6169,昱泉,TPEx,文化創意業,148.26175869120655,5178.260869565217,7.161599674517873,141.10015901668868
11508,1423,利華,TWSE,紡織纖維,140.2441731409545,81.86859351369517,-0.06602217024011142,140.3101953111946
11508,7730,暉盛-創,TWSE,半導體業,167.6950244105121,47.61713827471646,29.99232947887792,137.7026949316342
11508,2360,致茂,TWSE,其他電子業,156.29654201767283,3.6465264692026853,23.22306770081476,133.07347431685807
11508,4442,竣邦-KY,TPEx,紡織纖維,131.32054817155662,66.04643577274345,-0.06602217024011142,131.38657034179673
11508,2548,華固,TWSE,建材營造,139.52959372288657,752.4103582983179,10.642243208931497,128.88735051395508
11508,6225,天瀚,TWSE,光電業,139.20118343195267,17.47184889211769,10.869800594642088,128.33138283731057
11508,8054,安國,TPEx,半導體業,157.4483639638689,7.9197911055577235,29.99232947887792,127.45603448499098
11508,6442,光聖,TWSE,通信網路業,152.24399939889415,32.44156488565142,27.642117309427462,124.60188208946668
11508,6227,茂綸,TPEx,電子通路業,168.85623019694452,5.991478939867544,46.553405504062184,122.30282469288234
11508,4726,永昕,TPEx,生技醫療業,131.44212689667236,23.14251480288031,10.87404800799546,120.56807888867691
11508,7728,光焱科技,TPEx,其他電子業,137.32722413134783,1.6783903157205955,23.22306770081476,114.10415643053307
11508,3226,龍鋒,TPEx,電機機械,123.95113510044578,4.620672302198714,9.955734548221304,113.99540055222448
11508,6441,廣錠,TPEx,電腦及週邊設備業,135.5224867724868,240.84035222052069,25.200742370543818,110.32174440194296
11508,6706,惠特,TWSE,光電業,120.52782591403653,17.14781558892326,10.869800594642088,109.65802531939444
11508,6215,和椿,TWSE,其他電子業,132.81593791254951,7.728332901410536,23.22306770081476,109.59287021173475
11508,8472,納維康,TPEx,數位雲端,121.30045734738516,15.613637780224803,12.606719452831793,108.69373789455337
11508,3018,隆銘綠能,TWSE,其他電子業,130.49163179916317,229.09890474610023,23.22306770081476,107.2685640983484
11508,6672,騰輝電子-KY,TWSE,電子零組件業,133.2447678339368,21.127135266753342,29.750508203062697,103.49425963087411
11508,8996,高力,TWSE,電機機械,112.8353580924365,30.48416219953916,9.955734548221304,102.87962354421519
11508,6274,台燿,TPEx,電子零組件業,132.48393122185607,0.10944344976044647,29.750508203062697,102.73342301879337
11508,4807,日成-KY,TWSE,貿易百貨,105.4337738232811,41.193343155087696,4.245494301651084,101.18827952163002
11508,2855,統一證,TWSE,金融保險業,109.8769286098819,122.47776672091175,8.817960929271047,101.05896768061085
11508,2243,宏旭-KY,TWSE,汽車工業,106.4393510172547,84.39716964638983,5.380600310175146,101.05875070707955
11508,4931,新盛力,TPEx,電腦及週邊設備業,125.86678832116789,10.160534893811118,25.200742370543818,100.66604595062407
11508,2383,台光電,TWSE,電子零組件業,129.84671742960728,4.888351969713899,29.750508203062697,100.09620922654459
11508,6903,巨漢,TPEx,其他電子業,122.70103872385356,3.986202439723116,23.22306770081476,99.4779710230388
11508,7794,宏碁智新,TPEx,居家生活,102.78167311411993,23.552461974735756,3.9080529454810256,98.8736201686389
11508,8084,巨虹,TPEx,電子通路業,145.133904884247,35.22090085649147,46.553405504062184,98.5804993801848
11508,6209,今國光,TWSE,光電業,106.76387351719937,6.196648449645674,10.869800594642088,95.89407292255729
11508,3706,神達,TWSE,電腦及週邊設備業,119.89332334202707,5.638070867629579,25.200742370543818,94.69258097148325
11508,6446,藥華藥,TWSE,生技醫療業,105.4274761466709,4.384664840520659,10.87404800799546,94.55342813867544
11508,6015,宏遠證,TPEx,金融業,140.4952387188123,404.544135479391,46.18760930983452,94.30762940897776
11508,6937,天虹,TWSE,半導體業,123.29046160061951,27.865154458299394,29.99232947887792,93.29813212174159
11508,2425,承啟,TWSE,電腦及週邊設備業,118.45737918391718,3.8392858077969194,25.200742370543818,93.25663681337336
