資料年月,代號,名稱,市場,產業別,YoY%,相對強度,季報期別,存貨周轉天期,存貨周轉天期(上季),應收帳款收現天期,應收帳款收現天期(上季),二次確認
11508,1438,三地開發,TWSE,M25A 建設,41420.552147239265,41398.38697433421,2026-06-30,-2.403580237345163e-05,2.2399380194270086e-05,-0.0,1.7236811779260724e-07,存貨周轉持平、收現持平
11508,2905,三商,TWSE,M29A 百貨批發,7187.402448021923,7184.559363175151,,,,,,無季報資料（可能為金融股或近期上市）
11508,1456,怡華,TWSE,M25A 建設,6526.080375163244,6503.91520225819,2026-06-30,-0.00012942422969722424,5.131273283460035e-05,-1.6806364540417675e-07,6.234385490552509e-08,存貨周轉持平、收現持平
11508,6535,順藥,TPEx,M17C 藥,5135.838150289017,5121.902939968171,2026-06-30,0.0007405851063829787,0.00021,4.719040247678018e-05,1.096140977024314e-05,存貨周轉持平、收現持平
11508,5529,鉅陞,TPEx,M25A 建設,3702.282608695652,3680.117435790598,2026-06-30,-0.0001991191451824028,3.444733445944263e-05,-2.0762603584857445e-07,3.086058349089955e-07,存貨周轉持平、收現持平
11508,5205,中茂,TPEx,M99L 資源回收,2617.5182481751826,2601.95067326668,2026-06-30,3.677997858672377e-05,7.472379814870111e-06,0.0019495441795231417,0.00014369654817104584,存貨周轉持平、收現持平
11508,4113,聯上,TPEx,M25A 建設,2252.2927328556807,2230.1275599506266,2026-06-30,6.161696922980117e-05,0.0006441960461285009,1.8922852983988354e-08,0.0,存貨周轉持平、收現持平
11508,5386,青雲,TPEx,M23T 電子通路,1846.2079589216944,1811.0160192158366,2026-06-30,-3.014243712793099e-06,5.694531213546692e-07,-1.8851956570965933e-06,3.6084149852829707e-07,存貨周轉持平、收現持平
11508,5525,順天,TWSE,M25A 建設,1699.2086400934063,1677.0434671883522,2026-06-30,2.5147237092886375e-05,6.290041854331525e-06,9.26350555152253e-08,4.338602912179048e-08,存貨周轉持平、收現持平
11508,8937,合騏*,TPEx,M22A 汽車製造,1403.095975232198,1304.5990145910462,2026-06-30,1.8429381511275218e-06,8.930497048122202e-07,4.040155864756289e-06,8.138074345052732e-07,存貨周轉持平、收現持平
11508,2596,綠意,TPEx,M25A 建設,1287.8783165883854,1265.7131436833313,2026-06-30,2.3305525911658292e-05,7.70813711396421e-05,1.0322276822276821e-06,5.8472304943418705e-06,存貨周轉持平、收現持平
11508,8926,台汽電,TWSE,M99D 公用事業,1263.6234640055363,1248.1237791323845,2026-06-30,1.4324209756172042e-10,1.0887133051772665e-10,1.857985451773977e-08,1.6499606945485597e-08,存貨周轉持平、收現持平
11508,6461,益得,TPEx,M17C 藥,1102.9787234042553,1089.0435130834094,2026-06-30,7.47025584680584e-05,7.162662971804417e-06,8.238683127572016e-06,5.424046321525886e-07,存貨周轉持平、收現持平
11508,1591,駿吉-KY,TPEx,M20B 金屬製品,927.8923253150057,890.2281685108536,2026-06-30,-3.140604222074468e-05,6.693248683803034e-06,-3.3896735853931617e-05,2.7947642792384407e-06,存貨周轉持平、收現持平
11508,7610,聯友金屬-創,TWSE,M99L 資源回收,852.6321978095814,837.0646229010789,2026-06-30,8.17354683835875e-06,1.1069188879335051e-05,5.833648372776273e-07,5.191492207745537e-07,存貨周轉持平、收現持平
11508,4402,郡都開發,TPEx,M25A 建設,840.3707518022657,818.2055788972116,2026-06-30,6.900473933649289e-06,2.4776737094314966e-06,5.860303830911492e-05,2.277250247279921e-05,存貨周轉持平、收現持平
11508,6654,天正國際,TPEx,M23H 電子設備,848.7643215604583,806.247151553965,2026-06-30,1.594442860440172e-05,1.2536984807658033e-05,1.9892992977477853e-05,1.3270040117151929e-05,存貨周轉持平、收現持平
11508,6486,互動,TPEx,M23K 通信網路,825.8113558796152,798.9941642259354,2026-06-30,3.3511031352264336e-05,8.28277052782636e-06,1.1704727095972106e-05,4.543594501392734e-06,存貨周轉持平、收現持平
11508,2258,鴻華先進-創,TWSE,M22A 汽車製造,726.0737499660993,627.5767893249474,2026-06-30,1.455026201354895e-06,1.0280857489886557e-06,1.842776720262444e-08,1.2219909540929374e-08,存貨周轉持平、收現持平
11508,5508,永信建,TPEx,M25A 建設,633.6485802383911,611.483407333337,2026-06-30,4.534882950642574e-05,2.0868000327949498e-05,5.4383986804412865e-08,1.7215820717632166e-08,存貨周轉持平、收現持平
11508,3006,晶豪科,TWSE,M23G 半導體,605.2432014317565,575.9654839423317,2026-06-30,5.0497689042147815e-06,9.186020959487623e-07,2.1492089461828284e-07,1.8289160439802392e-07,存貨周轉持平、收現持平
11508,5289,宜鼎,TPEx,M23G 半導體,576.2927682888633,547.0150507994385,2026-06-30,1.2209467592103792e-06,5.992959704528689e-07,3.578269616576446e-07,2.0460594747260938e-07,存貨周轉持平、收現持平
11508,2408,南亞科,TWSE,M23G 半導體,560.8541425724004,531.5764250829757,2026-06-30,6.085263335108014e-07,6.694466562403839e-08,2.836429384479612e-08,1.7073994357602142e-08,存貨周轉持平、收現持平
11508,5455,昇益,TPEx,M25A 建設,546.5800865800866,524.4149136750325,2026-06-30,-0.0018514943845977542,0.0017588472222222224,,,存貨周轉持平
11508,5351,鈺創,TPEx,M23G 半導體,525.3153245373534,496.03760704792865,2026-06-30,4.59019306903934e-06,1.8003637733871836e-06,6.47814377651652e-07,4.837077559066057e-07,存貨周轉持平、收現持平
11508,6547,高端疫苗,TPEx,M17C 藥,416.8601727342298,402.92496241338387,2026-06-30,-0.00017115961677512654,3.359414116504129e-05,2.550795392210642e-05,2.4654495336631046e-06,存貨周轉持平、收現持平
11508,3631,晟楠,TPEx,M23B 印刷電路板,421.939736346516,381.3568957429359,2026-06-30,0.0025426470588235297,0.00010922471147318398,0.00042583333333333335,2.9331999555407358e-06,存貨周轉持平、收現持平
11508,2465,麗臺,TWSE,M23A 電腦及週邊,383.2629286702524,347.43602704026296,2026-06-30,4.73415163761385e-06,2.2953361002006324e-06,1.726236175876698e-06,9.565743556540072e-07,存貨周轉持平、收現持平
11508,8299,群聯,TPEx,M23G 半導體,376.5177219159828,347.2400044265581,2026-06-30,5.690206254242771e-07,2.6964381585267953e-07,5.714266504856768e-08,3.1709094889239136e-08,存貨周轉持平、收現持平
11508,2059,川湖,TWSE,M20B 金屬製品,344.4151275890319,306.7509707848798,2026-06-30,2.1094494317190665e-06,2.5204639315478397e-07,3.060498677029379e-07,2.262591231667653e-07,存貨周轉持平、收現持平
